addressRegion,companyId,companyName,companyRepresentativeImage,endedAt,id,isBookmarked,isPartner,jobLevel,jobLevels,jobSkillKeywords,joinReward,partnerLogo,startedAt,status_code,status_name,title,url
GANGNAM,1364,컬리,https://cdn.rallit.com/image/2025-05-21/dS2SrXoqUbZ5n2s3wre6_.jpg,2025-06-08,3528,False,False,IRRELEVANT,SENIOR,"Figma, ChatGPT, gemini",300,,2025-05-22,HIRING,모집 중,[컬리 10주년 테크 대규모채용] 커머스 Product Designer,https://www.rallit.com/positions/3528
GANGNAM,1364,컬리,https://cdn.rallit.com/image/2025-05-21/dS2SrXoqUbZ5n2s3wre6_.jpg,2025-06-08,3529,False,False,IRRELEVANT,SENIOR,"Figma, ProtoPie, ChatGPT",300,,2025-05-22,HIRING,모집 중,[컬리 10주년 테크 대규모채용] 풀필먼트 Product Designer,https://www.rallit.com/positions/3529
SEOUL,655,마카롱팩토리,https://cdn.rallit.com/image/2025-05-20/aGuul3ASND0ei55hvdSMU.png,9999-12-31,3507,False,False,JUNIOR,MIDDLE,"Photoshop, Illustrator, Figma, HTML/CSS",0,,1970-01-01,HIRING,모집 중,차량관리 1위 앱 '마이클' 프로덕트 디자이너 (5년 이상),https://www.rallit.com/positions/3507
GANGNAM,1364,컬리,https://cdn.rallit.com/image/2025-05-21/dS2SrXoqUbZ5n2s3wre6_.jpg,2025-06-08,3530,False,False,IRRELEVANT,SENIOR,"Figma, ProtoPie, After Effects, ChatGPT",300,,2025-05-22,HIRING,모집 중,[컬리 10주년 테크 대규모채용] 그로스 Product Designer,https://www.rallit.com/positions/3530
PANGYO,1363,리브스메드,https://cdn.rallit.com/image/2025-05-14/Y1BEdaB7vtQtAZKL9Fr7T.jpg,2025-06-02,3477,False,False,IRRELEVANT,MIDDLE,"Figma, adobe, Photoshop, Illustrator",0,,2025-05-14,HIRING,모집 중,[글로벌 의료기기] GUI 및 시각 디자이너 (대리-과장),https://www.rallit.com/positions/3477
GURO_GASAN,1142,주식회사 메가인포아이티,https://cdn.rallit.com/image/2024-12-06/Hr-mbiBJ6YxNjemMJ9mFz.jpg,9999-12-31,3463,False,False,IRRELEVANT,"IRRELEVANT, BEGINNER, JUNIOR","Figma, CursorAI, Illustrator, Photoshop, ProtoPie",0,,1970-01-01,HIRING,모집 중,셀프플래너 플랫폼 프로덕트(UX/UI) 디자이너(신입~),https://www.rallit.com/positions/3463
GURO_GASAN,1367,(주)브콥엔터테인먼트,https://image.rivers.co.kr/files/2025-05-21/1747821596939/company-represent-image-1747821596984.png,9999-12-31,3536,False,True,JUNIOR,JUNIOR,"3d-modelling, 3d-modeling, 3d-rendering, 3d-graphics, unity3d-5, Blender, MAYA, Unreal Engine, unreal-engine5, 영상제작",500000,https://cdn.rallit.com/image/icon/rivers.svg,1970-01-01,HIRING,모집 중,"3D 모델러, 디자이너, 리거, 애니메이터, PD 등",https://www.rallit.com/positions/3536
PANGYO,1286,퀸라이브,https://cdn.rallit.com/image/2025-03-02/K9u6WhmVkUW5dAzx1XmKg.png,9999-12-31,3291,False,False,IRRELEVANT,JUNIOR,"Figma, 서비스 기획, UX 기획, 프로덕트디자인",0,,1970-01-01,HIRING,모집 중,[재택근무] 프로덕트 디자이너(1년 이상),https://www.rallit.com/positions/3291
SEOUL,987,센트비,https://cdn.rallit.com/image/2024-05-30/6fe41DVMtmkdxbaftqS3N.jpg,9999-12-31,3483,False,False,IRRELEVANT,"JUNIOR, MIDDLE","Figma, ProtoPie, 프로토타이핑, UX 기획, JIRA, Confluence, Slack, 애자일",0,,1970-01-01,HIRING,모집 중,Product Designer,https://www.rallit.com/positions/3483
GANGNAM,994,(주)플래스크,https://cdn.rallit.com/image/2024-06-13/9e8-P3Rwwelf-K0ds2JH5.jpg,9999-12-31,2644,False,False,JUNIOR,JUNIOR,"ui, ux",0,,1970-01-01,HIRING,모집 중,(주)플래스크 서비스 디자이너 채용,https://www.rallit.com/positions/2644
GANGNAM,612,주식회사 헤링스,https://cdn.rallit.com/image/2023-09-07/EyQUgdrQ7z02w6aCRghB4.png,9999-12-31,1840,False,False,JUNIOR,JUNIOR,"Figma, Photoshop, Illustrator",0,,1970-01-01,HIRING,모집 중,UI 디자이너 경력 직원 채용,https://www.rallit.com/positions/1840
GANGNAM,944,한국딥러닝,https://cdn.rallit.com/image/2024-04-05/HEnEbPXZFXi-AlcVeo2sa.jpg,9999-12-31,3471,False,False,IRRELEVANT,JUNIOR,"ppt, 웹 디자인",50,,1970-01-01,HIRING,모집 중,시각 커뮤니케이션 디자이너,https://www.rallit.com/positions/3471
GANGNAM,613,데브게이트,https://cdn.rallit.com/image/2023-09-11/wCIecm0Bwag2YdVMHtjYp.png,9999-12-31,2744,False,False,JUNIOR,JUNIOR,"Figma, Photoshop, Illustrator",0,,1970-01-01,HIRING,모집 중,프로덕트 디자이너,https://www.rallit.com/positions/2744
SEOUL,952,POINT3 포인트쓰리,https://cdn.rallit.com/image/2024-04-08/iOUVVTDNAEGhwQyV6r9qS.png,9999-12-31,2483,False,False,IRRELEVANT,IRRELEVANT,"Figma, Illustrator",50,,1970-01-01,HIRING,모집 중,UX/UI 디자이너 모집,https://www.rallit.com/positions/2483
SEOUL,945,주식회사 비팩토리,https://cdn.rallit.com/image/2024-04-03/sJnxIob6OcjiEQVOdtVLq.jpg,9999-12-31,2464,False,False,IRRELEVANT,IRRELEVANT,"Figma, Photoshop",0,,1970-01-01,HIRING,모집 중,UI/UX 디자이너,https://www.rallit.com/positions/2464
GURO_GASAN,1367,(주)브콥엔터테인먼트,https://image.rivers.co.kr/files/2025-05-21/1747821596939/company-represent-image-1747821596984.png,9999-12-31,3542,False,True,JUNIOR,JUNIOR,"캐릭터 디자인, 3d, 3d-modelling, 애니메이션",50,https://cdn.rallit.com/image/icon/rivers.svg,1970-01-01,HIRING,모집 중,"캐릭터 디자이너, 마케터",https://www.rallit.com/positions/3542
SEOUL,1017,(주)코딧,https://image.rivers.co.kr/files/2024-07-11/1720695993629/company-represent-image-1720695990227.png,9999-12-31,2723,False,True,MIDDLE,MIDDLE,"ux, UX 기획, UX 리서치, gui",50,https://cdn.rallit.com/image/icon/rivers.svg,1970-01-01,HIRING,모집 중,UIUX 디자이너 (2년 이상),https://www.rallit.com/positions/2723
GANGNAM,626,솔로트립,https://cdn.rallit.com/image/2024-04-06/owa1s9d545LB1vucaJ-kQ.png,9999-12-31,1901,False,False,JUNIOR,JUNIOR,"Figma, Photoshop, Illustrator",20,,1970-01-01,HIRING,모집 중,UIUX 디자이너,https://www.rallit.com/positions/1901
GANGNAM,1145,(주)딜랏,https://cdn.rallit.com/image/2025-02-25/xuexSFtInjzWFhlQZJE8T.png,9999-12-31,3227,False,False,IRRELEVANT,IRRELEVANT,"Figma, Illustrator, Photoshop, Webflow, Framer, Lottie",0,,1970-01-01,HIRING,모집 중,[가려움추적기] 개인화 UI/UX 디자이너 모집,https://www.rallit.com/positions/3227
SEOUL,1066,EHP,https://cdn.rallit.com/image/2024-08-25/iF7nkruckaY2Wqmsgt-tk.png,9999-12-31,2875,False,False,IRRELEVANT,IRRELEVANT,Figma,0,,1970-01-01,HIRING,모집 중,UX/UI 디자이너,https://www.rallit.com/positions/2875
GYEONGGI,589,(주)디랙스,https://cdn.rallit.com/image/2023-08-07/l6Eilp8UKj6UheNfaO3-B.png,9999-12-31,2189,False,False,IRRELEVANT,IRRELEVANT,"Figma, Photoshop, XD, Illustrator",0,,1970-01-01,HIRING,모집 중,웹/앱 디자이저 모집,https://www.rallit.com/positions/2189
GANGNAM,987,센트비,https://cdn.rallit.com/image/2024-05-30/6fe41DVMtmkdxbaftqS3N.jpg,9999-12-31,3220,False,False,IRRELEVANT,SENIOR,"Figma, ProtoPie, 프로토타이핑, Amplitude, UX 기획, JIRA, Confluence, Slack, 애자일",0,,1970-01-01,HIRING,모집 중,Sr. Product Designer,https://www.rallit.com/positions/3220
GANGNAM,928,주식회사 페르미,https://cdn.rallit.com/image/2024-03-22/iY4nHMlhZ2qucklrZ5KIh.jpg,9999-12-31,2477,False,False,MIDDLE,MIDDLE,"웹 디자인, Figma, Photoshop, Illustrator, Sketch",50,,1970-01-01,HIRING,모집 중,UI/UX 디자이너 (4~8년) 경력직 채용,https://www.rallit.com/positions/2477
SEOUL,341,넥스트챕터,https://cdn.rallit.com/image/2022-11-02/Hp6_5NcTOH1uUi3ysHAYJ.png,9999-12-31,932,False,False,IRRELEVANT,IRRELEVANT,"커뮤니케이션, 영상제작, 사진, 콘텐츠 마케팅",0,,1970-01-01,HIRING,모집 중,[넥스트챕터] Content & Marketing Designer,https://www.rallit.com/positions/932
SEOUL,186,주식회사 원더베리,https://cdn.rallit.com/image/2022-04-19/emqrxfm4BmBeaLB9silIK.png,9999-12-31,388,False,False,IRRELEVANT,IRRELEVANT,"3D 모델링, MAYA, 3ds MAX, Blender, ZBrush, Substance Painter",0,,1970-01-01,HIRING,모집 중,3D 모델링 디자이너,https://www.rallit.com/positions/388
GANGNAM,618,(주)스플랩,https://cdn.rallit.com/image/2024-06-19/xoKlLnLWxj5Fq5_bzlk8o.png,9999-12-31,3188,False,False,IRRELEVANT,IRRELEVANT,"Figma, Illustrator, Photoshop",0,,1970-01-01,HIRING,모집 중,[Splab] Content Design Assistant,https://www.rallit.com/positions/3188
SEOUL,578,아이브코리아,https://cdn.rallit.com/image/2023-07-28/W9YVLGe2tUa5ZBa1igRpY.png,9999-12-31,2002,False,False,IRRELEVANT,IRRELEVANT,"Figma, Photoshop, Illustrator, ux",0,,1970-01-01,HIRING,모집 중,[경력] 웹/앱 서비스 UI/UX 디자이너,https://www.rallit.com/positions/2002
SEOUL,243,아틀라스랩스,https://cdn.rallit.com/image/2022-06-28/-b-f0GA87m6_MFQE-TPRP.png,9999-12-31,525,False,False,MIDDLE,MIDDLE,"서비스 기획, UX 기획, Figma",0,,1970-01-01,HIRING,모집 중,Product Designer,https://www.rallit.com/positions/525
SEOUL,1017,(주)코딧,https://image.rivers.co.kr/files/2024-07-11/1720695993629/company-represent-image-1720695990227.png,9999-12-31,2986,False,True,IRRELEVANT,IRRELEVANT,"GUI, UX 기획, ux, Figma, Photoshop",0,https://cdn.rallit.com/image/icon/rivers.svg,1970-01-01,HIRING,모집 중,UIUX 디자이너 인턴 (정규직 전환 가능),https://www.rallit.com/positions/2986
GANGNAM,1091,주식회사 더쇼소프트웨어,https://cdn.rallit.com/image/2024-09-21/oda4nIXSEVEFu03mhiHls.jpg,9999-12-31,2956,False,False,MIDDLE,MIDDLE,"3d-modelling, 애니메이션, 3ds MAX, MAYA, Blender, Substance Painter, ZBrush, Photoshop, Unity, Unreal Engine",0,,1970-01-01,HIRING,모집 중,게임 3D 디자이너,https://www.rallit.com/positions/2956
GANGNAM,1091,주식회사 더쇼소프트웨어,https://cdn.rallit.com/image/2024-09-21/oda4nIXSEVEFu03mhiHls.jpg,9999-12-31,2957,False,False,MIDDLE,MIDDLE,"ui, ux, Photoshop, Illustrator",0,,1970-01-01,HIRING,모집 중,게임 2D UI 디자이너,https://www.rallit.com/positions/2957
GURO_GASAN,293,미리디,https://cdn.rallit.com/image/2022-09-07/_vEOAkWyq6F2iXN9kkBVQ.jpg,9999-12-31,735,False,False,SENIOR,SENIOR,"Photoshop, Illustrator",0,,1970-01-01,HIRING,모집 중,[미리캔버스] 디자인 디렉터,https://www.rallit.com/positions/735
SEOUL,363,텔레픽스 주식회사,https://cdn.rallit.com/image/2024-08-08/Vo8sz4wseSqBwQCem4_5G.png,9999-12-31,2821,False,False,IRRELEVANT,IRRELEVANT,"Figma, 3d",50,,1970-01-01,HIRING,모집 중,그래픽/웹디자이너,https://www.rallit.com/positions/2821
SEOUL,22,(주)제네시스랩,https://cdn.rallit.com/image/2022-01-29/NvuYVuL3F8n4W-u8oDu7i.jpg,9999-12-31,64,False,False,MIDDLE,MIDDLE,"Figma, Illustrator",0,,1970-01-01,HIRING,모집 중,Sr. Product Designer (5년 이상) ,https://www.rallit.com/positions/64
MAPO,329,싸이드워크엔터테인먼트,https://cdn.rallit.com/image/2022-10-21/r99nfSUm6iQ_OyCtj-Ama.png,9999-12-31,1898,False,False,IRRELEVANT,IRRELEVANT,"Photoshop, Illustrator, After Effects",0,,1970-01-01,HIRING,모집 중,그래픽 디자이너 (Graphic Designer),https://www.rallit.com/positions/1898
MAPO,329,싸이드워크엔터테인먼트,https://cdn.rallit.com/image/2022-10-21/r99nfSUm6iQ_OyCtj-Ama.png,9999-12-31,1582,False,False,JUNIOR,JUNIOR,"Unreal Engine, Unity, 3ds MAX, ZBrush, Substance Painter",0,,1970-01-01,HIRING,모집 중,3D 모델링 디자이너,https://www.rallit.com/positions/1582
GANGNAM,642,주식회사 아인잡,https://cdn.rallit.com/image/2023-10-31/gApo22_v0TAgRVsFNZBLj.jpg,9999-12-31,1942,False,False,JUNIOR,JUNIOR,"Figma, XD, HTML/CSS, UX 기획, GUI, 서비스 기획",0,,1970-01-01,HIRING,모집 중,[자사 서비스] UX/UI 디자이너 ,https://www.rallit.com/positions/1942
GANGNAM,542,(주)밈비,https://cdn.rallit.com/image/2023-06-19/2REgHAamxtzLAklYVq114.png,9999-12-31,1750,False,False,MIDDLE,MIDDLE,"Photoshop, Illustrator, Figma",0,,1970-01-01,HIRING,모집 중,UX/UI 디자이너,https://www.rallit.com/positions/1750
GANGNAM,584,패스트뷰,https://cdn.rallit.com/image/2023-08-03/E7kiOg5BIHlAIi1mZpufq.jpg,9999-12-31,1760,False,False,MIDDLE,MIDDLE,"GUI, ux, 웹 디자인, 모바일 디자인, Figma, Photoshop",70,,1970-01-01,HIRING,모집 중,UX/UI 디자이너 (3년 ~ 5년),https://www.rallit.com/positions/1760
GANGNAM,40,슬릭코퍼레이션,https://cdn.rallit.com/image/2022-02-07/Qfbo2erf213UXDZe39EbT.png,9999-12-31,192,False,False,MIDDLE,MIDDLE,"Figma, ProtoPie",0,,1970-01-01,HIRING,모집 중,UX 디자이너,https://www.rallit.com/positions/192
SEOUL,341,넥스트챕터,https://cdn.rallit.com/image/2022-11-02/Hp6_5NcTOH1uUi3ysHAYJ.png,9999-12-31,931,False,False,MIDDLE,MIDDLE,커뮤니케이션,0,,1970-01-01,HIRING,모집 중,[넥스트챕터] Brand Designer,https://www.rallit.com/positions/931
SEOUL,341,넥스트챕터,https://cdn.rallit.com/image/2022-11-02/Hp6_5NcTOH1uUi3ysHAYJ.png,9999-12-31,933,False,False,MIDDLE,MIDDLE,"3d-modelling, 영어, 중국어",0,,1970-01-01,HIRING,모집 중,[넥스트챕터] Product Designer,https://www.rallit.com/positions/933
GANGNAM,181,주식회사 씨엑스디자인,https://cdn.rallit.com/image/2022-04-22/UsRH7XOGYNd_7HZEHCqB4.jpg,9999-12-31,371,False,False,MIDDLE,MIDDLE,"XD, Sketch, Figma",100,,1970-01-01,HIRING,모집 중,UX/UI 디자인 경력직(4~8년) 채용,https://www.rallit.com/positions/371
