addressRegion,companyId,companyName,companyRepresentativeImage,endedAt,id,isBookmarked,isPartner,jobLevel,jobLevels,jobSkillKeywords,joinReward,partnerLogo,startedAt,status_code,status_name,title,url
GANGNAM,361,이지식스(엠블),https://cdn.rallit.com/image/2022-12-05/7mxbvwqZrNa5oaeUKVS3t.jpg,9999-12-31,1802,False,False,MIDDLE,MIDDLE,"Kotlin, Android, MVVM, RxJava, 영어",0,,1970-01-01,HIRING,모집 중,[TADA] Android Engineer,https://www.rallit.com/positions/1802
GANGNAM,1364,컬리,https://cdn.rallit.com/image/2025-05-21/dS2SrXoqUbZ5n2s3wre6_.jpg,2025-06-08,3524,False,False,IRRELEVANT,SENIOR,"iOS, Android, ChatGPT",300,,2025-05-21,HIRING,모집 중,[컬리 10주년 테크 대규모채용] 그로스 앱 개발,https://www.rallit.com/positions/3524
GANGNAM,532,(주)위펀,https://cdn.rallit.com/image/2023-06-08/qwVRrT9jGWtbOx8SJ3_Pl.jpg,9999-12-31,1602,False,False,MIDDLE,MIDDLE,"JavaScript, Git, SEO, ux, HTML/CSS, TypeScript, Vue.js, React, Framer, GUI",0,,1970-01-01,HIRING,모집 중,(주)위펀 - Frontend Engineer(React),https://www.rallit.com/positions/1602
GANGNAM,410,(주)리코,https://cdn.rallit.com/image/2025-05-08/CRFA6bD3eQz09ndSZk9lC.jpg,9999-12-31,3466,False,False,IRRELEVANT,"MIDDLE, SENIOR","Vue.js, TypeScript, vite, Kotlin, Java, Spring Boot, JPA, querydsl, AWS, Docker",0,,1970-01-01,HIRING,모집 중,Sr. 백엔드 개발자(경력 5-10년),https://www.rallit.com/positions/3466
GANGNAM,1364,컬리,https://cdn.rallit.com/image/2025-05-21/dS2SrXoqUbZ5n2s3wre6_.jpg,2025-06-08,3532,False,False,IRRELEVANT,SENIOR,"SQL, Python, airflow, ChatGPT",300,,2025-05-21,HIRING,모집 중,[컬리 10주년 테크 대규모채용] 데이터 분석가,https://www.rallit.com/positions/3532
GANGNAM,1364,컬리,https://cdn.rallit.com/image/2025-05-21/dS2SrXoqUbZ5n2s3wre6_.jpg,2025-06-08,3531,False,False,IRRELEVANT,SENIOR,"머신러닝, Python, SQL, ChatGPT",300,,2025-05-21,HIRING,모집 중,[컬리 10주년 테크 대규모채용] 데이터 사이언티스트,https://www.rallit.com/positions/3531
GANGNAM,73,데일리펀딩,https://cdn.rallit.com/image/2022-02-23/Ly_EwoOuEWikEGKtCdILJ.jpg,9999-12-31,201,False,False,MIDDLE,"JUNIOR, MIDDLE","Github, JIRA, Django, MySQL, PHP, Python, ubuntu",0,,1970-01-01,HIRING,모집 중,백엔드 개발자,https://www.rallit.com/positions/201
GANGNAM,1364,컬리,https://cdn.rallit.com/image/2025-05-21/dS2SrXoqUbZ5n2s3wre6_.jpg,2025-06-08,3522,False,False,IRRELEVANT,SENIOR,"React, ChatGPT",300,,2025-05-21,HIRING,모집 중,[컬리 10주년 테크 대규모채용] 그로스 프론트엔드 개발,https://www.rallit.com/positions/3522
GANGNAM,1364,컬리,https://cdn.rallit.com/image/2025-05-21/dS2SrXoqUbZ5n2s3wre6_.jpg,2025-06-08,3519,False,False,IRRELEVANT,SENIOR,"Java, Kotlin, MySQL, Spring Boot, ChatGPT",300,,2025-05-21,HIRING,모집 중,[컬리 10주년 테크 대규모채용] 그로스 백엔드 개발,https://www.rallit.com/positions/3519
GANGNAM,1097,(주)필라넷,https://cdn.rallit.com/image/2024-09-30/U1ket1NwZGUC1NsQEqbhI.png,9999-12-31,3541,False,False,IRRELEVANT,"MIDDLE, JUNIOR, BEGINNER","C#, .NET, wpf, MVVM, Git, DBMS/RDBMS",0,,1970-01-01,HIRING,모집 중,"(주)필라넷 보안관제 시스템 SW 개발자(C#, .NET) 정규직 채용",https://www.rallit.com/positions/3541
