addressRegion,companyId,companyName,companyRepresentativeImage,endedAt,id,isBookmarked,isPartner,jobLevel,jobLevels,jobSkillKeywords,joinReward,partnerLogo,startedAt,status_code,status_name,title,url
PANGYO,7,인프랩 (인프런),https://cdn.rallit.com/image/2022-01-06/zWVCtXZfCDVujmzobblNq.png,9999-12-31,3460,False,False,IRRELEVANT,"MIDDLE, SENIOR","Photoshop, Illustrator, 퍼포먼스 마케팅, 디지털 마케팅, 이벤트프로모션, 브랜드 마케팅, CRM 마케팅",0,,1970-01-01,HIRING,모집 중,[인프런] 마케터,https://www.rallit.com/positions/3460
SEOUL,1017,(주)코딧,https://image.rivers.co.kr/files/2024-07-11/1720695993629/company-represent-image-1720695990227.png,9999-12-31,3494,False,True,JUNIOR,JUNIOR,"홍보, 기업홍보, 언론홍보",0,https://cdn.rallit.com/image/icon/rivers.svg,1970-01-01,HIRING,모집 중,PR & Communications Manager (3년차 이상),https://www.rallit.com/positions/3494
SEOUL,1017,(주)코딧,https://image.rivers.co.kr/files/2024-07-11/1720695993629/company-represent-image-1720695990227.png,9999-12-31,3488,False,True,IRRELEVANT,IRRELEVANT,"커뮤니케이션, PR",0,https://cdn.rallit.com/image/icon/rivers.svg,1970-01-01,HIRING,모집 중,PR 인턴 (정규직 전환 가능),https://www.rallit.com/positions/3488
SEOUL,1017,(주)코딧,https://image.rivers.co.kr/files/2024-07-11/1720695993629/company-represent-image-1720695990227.png,9999-12-31,3487,False,True,IRRELEVANT,IRRELEVANT,콘텐츠 마케팅,0,https://cdn.rallit.com/image/icon/rivers.svg,1970-01-01,HIRING,모집 중,콘텐츠 마케팅 인턴 (정규직 전환 가능),https://www.rallit.com/positions/3487
SEOUL,1017,(주)코딧,https://image.rivers.co.kr/files/2024-07-11/1720695993629/company-represent-image-1720695990227.png,9999-12-31,3492,False,True,JUNIOR,JUNIOR,"홍보, 기업홍보, 언론홍보",0,https://cdn.rallit.com/image/icon/rivers.svg,1970-01-01,HIRING,모집 중,헬스케어/제약 PR & Communications Manager,https://www.rallit.com/positions/3492
SEOUL,1017,(주)코딧,https://image.rivers.co.kr/files/2024-07-11/1720695993629/company-represent-image-1720695990227.png,9999-12-31,3491,False,True,JUNIOR,JUNIOR,"홍보, 기업홍보, 언론홍보",0,https://cdn.rallit.com/image/icon/rivers.svg,1970-01-01,HIRING,모집 중,PR & Communications Manager (1~3년차),https://www.rallit.com/positions/3491
SEOUL,341,넥스트챕터,https://cdn.rallit.com/image/2022-11-02/Hp6_5NcTOH1uUi3ysHAYJ.png,9999-12-31,942,False,False,IRRELEVANT,IRRELEVANT,"커뮤니케이션, 영어",0,,1970-01-01,HIRING,모집 중,[넥스트챕터] Senior Brand Manager (General),https://www.rallit.com/positions/942
GURO_GASAN,1094,엑세스 주식회사,https://cdn.rallit.com/image/2024-09-24/Xvvs2MjWyIwfP02gI_ldT.jpg,9999-12-31,3053,False,False,JUNIOR,JUNIOR,"PowerPoint, Photoshop, Premiere Pro, Excel, Notion",0,,1970-01-01,HIRING,모집 중,[대한민국 1위 B2B 콘텐츠 플랫폼] 마케팅 채용,https://www.rallit.com/positions/3053
SEOUL,341,넥스트챕터,https://cdn.rallit.com/image/2022-11-02/Hp6_5NcTOH1uUi3ysHAYJ.png,9999-12-31,939,False,False,INTERN,INTERN,"Excel, 커뮤니케이션",0,,1970-01-01,HIRING,모집 중,[넥스트챕터] Brand Manager (Intern),https://www.rallit.com/positions/939
GANGNAM,1356,주식회사 익스토리,https://cdn.rallit.com/image/2025-04-26/uNsxGhDFC94jLTMXxBNjp.jpg,9999-12-31,3440,False,False,IRRELEVANT,IRRELEVANT,"GA4, datadog, MS-Office",0,,1970-01-01,HIRING,모집 중,주니어 마케터 (정규직),https://www.rallit.com/positions/3440
GANGNAM,532,(주)위펀,https://cdn.rallit.com/image/2023-06-08/qwVRrT9jGWtbOx8SJ3_Pl.jpg,9999-12-31,3181,False,False,IRRELEVANT,JUNIOR,"Google Tag Manager, GA4",0,,1970-01-01,HIRING,모집 중,(주)위펀 - 퍼포먼스 마케터,https://www.rallit.com/positions/3181
GANGNAM,532,(주)위펀,https://cdn.rallit.com/image/2023-06-08/qwVRrT9jGWtbOx8SJ3_Pl.jpg,9999-12-31,3182,False,False,IRRELEVANT,JUNIOR,"Google Tag Manager, GA4",0,,1970-01-01,HIRING,모집 중,(주)위펀 - CRM 마케터,https://www.rallit.com/positions/3182
GANGNAM,14,남의집,https://cdn.rallit.com/image/2022-01-28/TDFBUhMK27fB9jRTkzLu4.jpg,9999-12-31,96,False,False,SENIOR,SENIOR,"디지털 마케팅, 퍼포먼스 마케팅, Google Analytics",0,,1970-01-01,HIRING,모집 중,마케팅 총괄 리드,https://www.rallit.com/positions/96
GANGNAM,1033,오비터스 주식회사,https://cdn.rallit.com/image/2024-07-24/pSxc0zapB60pn6Y7-Hu0z.jpg,9999-12-31,3062,False,False,JUNIOR,"MIDDLE, JUNIOR",디지털 마케팅,0,,1970-01-01,HIRING,모집 중,"브랜드 매니저 / 퍼포먼스 마케터 (미국 1명, 일본 1명)",https://www.rallit.com/positions/3062
GANGNAM,534,(주)동네티콘,https://cdn.rallit.com/image/2023-06-12/S_0o9ZzysLjtXox5uj8xg.png,9999-12-31,1604,False,False,JUNIOR,JUNIOR,"Photoshop, Illustrator, Figma, GA4",0,,1970-01-01,HIRING,모집 중,퍼포먼스 마케터 (신입/경력) 채용,https://www.rallit.com/positions/1604
SEOUL,341,넥스트챕터,https://cdn.rallit.com/image/2022-11-02/Hp6_5NcTOH1uUi3ysHAYJ.png,9999-12-31,935,False,False,JUNIOR,JUNIOR,커뮤니케이션,0,,1970-01-01,HIRING,모집 중,[넥스트챕터] Brand Manager (Beauty),https://www.rallit.com/positions/935
GANGNAM,684,NRISE,https://cdn.rallit.com/image/2023-12-21/uOoX0fbtjqQuiM1Vn7Mlo.png,9999-12-31,2073,False,False,MIDDLE,MIDDLE,"퍼포먼스 마케팅, 그로스해킹",0,,1970-01-01,HIRING,모집 중,그로스마케터 (WIPPY),https://www.rallit.com/positions/2073
SEOUL,674,하이프로토콜,https://cdn.rallit.com/image/2023-12-06/FUuDPDg7KQfC6_UEOqFOP.png,9999-12-31,2048,False,False,JUNIOR,JUNIOR,Google Analytics,0,,1970-01-01,HIRING,모집 중,[Web3] 크로스체인 프로토콜 마케팅 매니저,https://www.rallit.com/positions/2048
GANGNAM,1092,주식회사 페칭,https://cdn.rallit.com/image/2024-09-23/MyTeAd_KA0HLfF1rKGaW-.jpg,9999-12-31,3064,False,False,IRRELEVANT,IRRELEVANT,"퍼포먼스마케팅, 디지털마케팅",0,,1970-01-01,HIRING,모집 중,[페칭] 패션 플랫폼 Growth 마케터 경력직,https://www.rallit.com/positions/3064
SEOUL,552,콘센트릭스 Catalyst,https://cdn.rallit.com/image/2023-06-28/Ma_FwHYyCFx7pwSybihlQ.png,9999-12-31,1671,False,False,MIDDLE,MIDDLE,"빅데이터, SQL, CRM 마케팅",0,,1970-01-01,HIRING,모집 중,CRM 데이터분석,https://www.rallit.com/positions/1671
SEOUL,1017,(주)코딧,https://image.rivers.co.kr/files/2024-07-11/1720695993629/company-represent-image-1720695990227.png,9999-12-31,2725,False,True,MIDDLE,MIDDLE,"디지털 마케팅, 콘텐츠 마케팅, 퍼포먼스 마케팅, 이메일 마케팅, 마케팅전략",0,https://cdn.rallit.com/image/icon/rivers.svg,1970-01-01,HIRING,모집 중,마케팅 매니저,https://www.rallit.com/positions/2725
SEOUL,348,주식회사 이너프유,https://cdn.rallit.com/image/2022-11-15/mZOj45dTYs9fdP2llavSK.png,9999-12-31,1007,False,False,JUNIOR,JUNIOR,"Photoshop, Google Analytics, Google Ads, Facebook Ads",0,,1970-01-01,HIRING,모집 중,[이너프유] 퍼포먼스 마케터(신입/경력) 채용,https://www.rallit.com/positions/1007
GANGNAM,959,주식회사 엔비티,https://cdn.rallit.com/image/2024-04-19/1Z9xe3ox-CMZFWLtbYHtV.jpg,9999-12-31,2503,False,False,JUNIOR,JUNIOR,"광고영업, 광고주관리, 광고켐페인, 세일즈프로모션",0,,1970-01-01,HIRING,모집 중,Assistant Sales Manager,https://www.rallit.com/positions/2503
GYEONGGI,993,진진고트,https://image.rivers.co.kr/files/2024-06-13/1718236161384/company-represent-image-1718236161416.png,9999-12-31,2639,False,True,JUNIOR,JUNIOR,"모바일 디자인, 디지털 마케팅, 웹 디자인, 경영노하우, 블로그, 컴퓨터활용능력, 브랜드 마케팅",0,https://cdn.rallit.com/image/icon/rivers.svg,1970-01-01,HIRING,모집 중,마케팅전문가,https://www.rallit.com/positions/2639
GANGNAM,626,솔로트립,https://cdn.rallit.com/image/2024-04-06/owa1s9d545LB1vucaJ-kQ.png,9999-12-31,1900,False,False,IRRELEVANT,IRRELEVANT,"Slack, Notion, PowerPoint, Photoshop",20,,1970-01-01,HIRING,모집 중,여행 콘텐츠 마케터,https://www.rallit.com/positions/1900
SEOUL,341,넥스트챕터,https://cdn.rallit.com/image/2022-11-02/Hp6_5NcTOH1uUi3ysHAYJ.png,9999-12-31,941,False,False,JUNIOR,JUNIOR,"커뮤니케이션, 서비스 기획",0,,1970-01-01,HIRING,모집 중,[넥스트챕터] Brand Manager (Pet),https://www.rallit.com/positions/941
